name,citedby,citedby5y,hindex,hindex5y,i10index,i10index5y
Luigi Colombo,59554,30966,75,48,208,108
Gregory Dess,59010,20645,57,44,91,68
Mike W. Peng,57713,27347,93,77,168,147
Michael Q. Zhang,57020,23157,102,67,337,235
Michael D. Rugg,49102,12728,116,59,277,213
Robert M. Wallace,48447,21678,94,65,355,212
Yves Jean Chabal,44857,14723,108,60,409,230
Mark Spong,44638,12495,85,47,218,131
Todd Sandler,44163,13012,105,63,282,189
Denise Park,42975,19167,99,63,237,171
Hervé Abdi,39067,20227,88,59,205,151
Robert J Stern,36128,18333,98,65,301,252
Brian J.L.Berry,34087,5686,78,34,192,94
Jeremy R. Gray,32489,17917,54,44,75,64
Alain Bensoussan,28981,8271,67,39,237,118
Orlando Auciello,24570,4613,73,33,277,96
John Hansen,24490,8853,70,38,409,215
Eric W. K. Tsang,24459,10366,58,47,96,80
Vladimir Gevorgyan,22652,8768,82,51,195,143
John Ferraris,22169,6222,74,39,181,92
Aage R. Moller,21168,3513,85,31,260,95
Ding-Zhu Du,20383,6104,65,36,266,115
Zhenyu Xuan,19971,9119,42,32,62,47
Massimo V Fischetti,18381,3565,62,31,166,76
Philip Loizou (Memorial),16704,5909,53,31,98,60
Daniel Griffith,16280,6119,62,39,190,123
kenneth Balkus,16268,5877,59,36,209,97
"Naofal Aldhahir,IEEE Fellow,Fellow National Academy of Inventors",16035,6735,57,36,242,151
Bhavani Thuraisingham,16013,6098,65,40,264,134
g mcmechan,15873,5054,64,37,241,116
Reza Moheimani,15679,5496,64,36,210,128
Steven L. Small,15368,5097,64,39,156,101
Karen M. Rodrigue,15234,7901,49,40,77,72
Aria Nosratinia,14571,2761,43,20,115,58
Murat Kantarcioglu,14354,6858,57,42,173,132
Jung-whan Kim,13698,6738,33,30,44,38
Tae Hoon Kim,13324,4262,28,24,33,31
Andrian Marcus,13214,5483,58,41,111,85
Stan J Liebowitz,13029,2341,39,21,58,33
Latifur Khan,13001,6106,62,39,197,125
Bart Rypma,12727,4322,40,32,74,62
Alice J. O'Toole,12578,4351,57,39,112,81
Roger F. Malina,12287,2149,53,21,133,38
Mengxiao Yu,12113,5730,48,42,63,60
Jason Jue,11825,3304,45,22,147,48
Jinguo Wang,11552,5041,57,40,113,84
vikram nanda,11395,4614,42,33,91,57
Kristen M. Kennedy,11326,5673,45,37,68,65
Carlos Busso,11305,8007,47,39,128,111
Brian Ratchford,11240,3145,47,32,83,59
Riki Takeuchi,11046,6160,34,32,43,40
Babak Fahimi,11013,5159,52,37,176,98
Lawrence Chung,10883,2324,38,18,88,37
Michael Kilgard,10827,5632,53,42,126,110
Nasser Kehtarnavaz,10745,6077,51,32,190,102
Jiyoung Kim,10275,5517,54,39,163,108
Weili (Lily)  Wu,10220,4646,47,32,203,122
W. Eric Wong,10147,4341,50,30,133,79
Chandramallika Basak,9945,5578,27,23,35,32
Theodore Price,9942,6717,55,46,144,136
Gagan Wig,9676,6201,28,24,36,33
Tien N. Nguyen,9647,6080,50,40,154,111
Shaojie Tang,9605,5944,47,39,176,128
Sanda M. Harabagiu,9553,2525,48,25,114,57
Dong Qian,9307,4974,45,33,93,77
Suresh Radhakrishnan,9268,4880,31,25,57,41
Ashiq Ali,8882,3278,27,21,37,28
Vincent Ng,8814,4694,50,37,106,87
Ravi Prakash,8700,1337,39,18,67,28
Walter Jay Dowling,8675,1509,38,23,62,36
Stuart Cogan,8390,3778,45,30,103,56
Fan Zhang,7934,5777,44,39,72,68
John Geissman,7893,2389,46,25,157,66
Ana Solodkin,7878,2894,43,30,61,49
Hongbing Lu,7839,3958,46,32,114,88
Greg Dussor,7832,5422,48,42,94,90
Yu Xiang,7810,7192,30,27,36,33
Patrick Winter,7688,1530,41,22,62,45
Chuanwei Zhang,7637,4206,46,33,107,82
Ali E. Aliev,7584,3610,31,24,55,43
Amy Pinkham,7549,4840,42,38,92,88
Joshua D. Summers,7535,3984,41,29,201,116
Toyah Miller,7400,5098,20,17,21,20
Elena Katok,7379,3028,37,27,58,45
Noah Sasson,7323,4800,38,38,57,56
