,Fname,Lname,Dept,rating_class,total_Ratings,overall_rating
0,Herve,Abdi,Psychology,good,9,4.7
1,Nimali,Abeykoon,Chemistry,good,26,3.9
2,Venkatesh,Acharya,Engineering,poor,4,1.4
3,Robert,Ackerman,Psychology,good,15,4.3
4,Cesar,Acosta,Mathematics,good,1,4.5
5,Anani,Adabrah,Mathematics,good,13,3.8
6,Isaac,Aday,Rhetoric,good,2,5.0
7,Richard,Addante,Neuroscience,average,28,2.7
8,Francis,Adjei,Mathematics,poor,1,2.0
9,Hans,Adler,Management,average,2,2.5
10,Rosemary,Admiral,History,good,5,4.8
11,Pawel,Agora,Art History,zero,0,N/A
12,Art,Agulnek,Accounting,average,33,3.0
13,Khatereh,Ahadi,Statistics,good,53,4.2
14,Mea,Ahlberg,Business Communications,good,47,3.7
15,Gurvinder,Ahluwalia,Computer Science,poor,8,1.3
16,Maryam,Ahmadi,Economics,good,6,4.5
17,Zulfi,Ahmed,Information Science,good,1,5.0
18,Shaheen,Ahmed,Engineering,average,8,2.6
19,Jung-Mo,Ahn,Chemistry,poor,41,2.5
20,Mohammad,Ahsan,Mathematics,average,48,3.2
21,Carlos,Aiken,Geology,poor,7,2.0
22,Mohamed,Akaba,Engineering,zero,0,N/A
23,Yavuz,Akalin,International Studies,good,6,3.8
24,Mohammad,Akbar,Mathematics,good,55,4.3
25,Bilal,Akin,Electrical Engineering,good,12,4.7
26,Prosper,Akrobotu,Mathematics,good,1,5.0
27,Mine,Aksu,Accounting,poor,11,1.1
28,Mathias,Akuoko,Sociology,poor,7,2.1
29,Abdullah,Al Helal,Mathematics,poor,2,2.0
30,Naofal,Al-Dhahir,Electrical Engineering,good,29,3.8
31,Eman,Al-Habashneh,Rhetoric,good,7,3.9
32,Entidhar,Al-Rashid,Rhetoric,good,1,4.0
33,Sridhar,Alagar,Computer Science,average,45,2.6
34,Razan ,Albanna,Political Science,good,4,4.8
35,Shawn,Alborz,Business,good,576,4.7
36,Donna,Aldridge,Arts & Technology,zero,0,N/A
37,Michelle,Aldridge,Health Science,good,25,4.8
38,Hosanna,Alem,Rhetoric,good,1,5.0
39,Hosanna,Alem,Literature,good,1,5.0
40,Donna,Aldridge,Arts & Technology,zero,0,N/A
41,Michelle,Aldridge,Health Science,good,25,4.8
42,Hosanna,Alem,Rhetoric,good,1,5.0
43,Hosanna,Alem,Literature,good,1,5.0
44,Bobby,Alexander,Sociology,good,26,4.0
45,Yousef,Alhamoudi,Arts & Humanities,zero,0,N/A
46,Rawad,Alhashmi,English,good,6,4.2
47,Tariq,Ali,Engineering,good,11,4.5
48,Ahmed,Ali,Mathematics,good,7,3.9
49,Ahmed,Ali,Engineering,poor,2,1.5
50,Ashiq,Ali,Accounting,good,10,3.7
51,Ali,Alibhai,Arts & Humanities,good,22,4.2
52,Athena,Alimirzaei,Operations Management,good,63,3.6
53,Minden,Alixandre,Engineering,poor,16,1.9
54,Rasha,Aljararwa,Arts amp Humanities,good,2,5.0
55,John,Allen,Education,good,7,4.1
56,Phillip,Allen,Education,good,14,4.1
57,Michael,Allred,Languages,good,3,5.0
58,Frank,Allum,Mathematics,good,22,3.7
59,Suraya,Ally,Mathematics,zero,0,N/A
60,Dianne,Altuna,Behavioral Sciences,good,3,4.8
61,Iris,Alvarado,Mathematics,good,8,4.1
62,Manolo,Alvarez,Business Communications,zero,0,N/A
63,Ahmed,Alzahrani,Economics,zero,0,N/A
64,Catalina,Alzate,Arts & Technology,good,1,5.0
65,Kelly,Aman,Mathematics,good,15,4.5
66,Edgar,Amaro,Rhetoric,average,2,2.8
67,Lawrence,Amato,Philosophy,good,73,4.0
68,Mina,Ameri,Marketing,average,6,2.7
69,Semiramis,Amirpour,Marketing,good,37,3.7
